taxon,lineage,probability,pangoLEARN_version,status,note
hCoV-19/USA/WI-UW-965/2020|EPI_ISL_509963|2020-05-19,B.1.1.73,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-765/2020|EPI_ISL_495470|2020-07-05,B.1.139,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-792/2020|EPI_ISL_495496|2020-07-05,B.1.139,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-761/2020|EPI_ISL_495466|2020-07-05,B.1.3,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-781/2020|EPI_ISL_495485|2020-07-05,B.1.139,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-794/2020|EPI_ISL_495498|2020-07-05,B.1.139,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-796/2020|EPI_ISL_495500|2020-07-05,B.1.294,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-790/2020|EPI_ISL_495494|2020-07-05,B.1.139,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-768/2020|EPI_ISL_495473|2020-07-06,B.1.139,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-803/2020|EPI_ISL_495507|2020-07-06,B.1.162,1.0,2021-01-06,passed_qc,
hCoV-19/USA/MO-UW-771/2020|EPI_ISL_495476|2020-07-06,B.1.370,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-784/2020|EPI_ISL_495488|2020-07-06,B.1,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-787/2020|EPI_ISL_495491|2020-07-06,B.1.139,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-786/2020|EPI_ISL_495490|2020-07-06,B.1.112,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-766/2020|EPI_ISL_495471|2020-07-06,B.1.370,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-798/2020|EPI_ISL_495502|2020-07-06,B.1,1.0,2021-01-06,passed_qc,
