taxon,lineage,probability,pangoLEARN_version,status,note
hCoV-19/USA/WI-UW-1348/2020|EPI_ISL_536719|2020-09-08,B.1.2,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-1452/2020|EPI_ISL_541584|2020-09-12,B.1.2,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-1459/2020|EPI_ISL_541591|2020-09-11,B.1.2,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-1436/2020|EPI_ISL_541569|2020-09-12,B.1.2,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-1461/2020|EPI_ISL_541593|2020-09-10,B.1.2,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-1344/2020|EPI_ISL_536715|2020-09-09,B.1.2,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-1412/2020|EPI_ISL_536782|2020-09-04,B.1.2,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-1325/2020|EPI_ISL_536696|2020-09-02,B.1.5,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-1480/2020|EPI_ISL_541612|2020-09-10,B.1.1.251,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-1477/2020|EPI_ISL_541609|2020-09-10,B.1.369,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-1475/2020|EPI_ISL_541607|2020-09-10,B.1.1.251,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-1441/2020|EPI_ISL_541573|2020-09-11,B.1.2,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-1445/2020|EPI_ISL_541577|2020-09-11,B.1.2,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-1406/2020|EPI_ISL_536776|2020-09-03,B.1.2,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-1499/2020|EPI_ISL_541626|2020-09-11,B.1.2,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-1900/2020|EPI_ISL_605769|2020-09-11,B.1.2,1.0,2021-01-06,passed_qc,
out_barcode41.fastq/ARTIC/medaka_MN908947.3,B.1.2,1.0,2021-01-06,passed_qc,
